Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,99.06484222,..,..,98.85956573,..,..,99.51937103,..,..,..
Australia,AUS,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..,98.59228516,..,..,99.03623199,..,..,99.19509125,..,..,..
Australia,AUS,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..,..,..,99.59469604,..,..,98.670578,..,..,99.85453796,..,..,..
Australia,AUS,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..,..,..,..,99.11392212,..,..,99.61399078,..,..,99.63609314,..,..,..
Australia,AUS,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..,..,..,..,..,97.95354462,..,..,100,..,..,99.2878418,..,..,..
Australia,AUS,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..,..,..,..,..,100,..,..,100,..,..,100,..,..,..
Australia,AUS,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..,..,..,..,..,99.80312347,..,..,98.12947845,..,..,99.67347717,..,..,..
Australia,AUS,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..,..,..,..,..,99.15608978,..,..,99.11790466,..,..,99.6711731,..,..,..
Australia,AUS,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..,..,..,..,..,98.76113892,..,..,94.77867126,..,..,100,..,..,..
Australia,AUS,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,95.78078,96.55403,96.67832,96.81221,97.10396,97.67766,97.98651,97.48417,97.13516,97.10963,96.7724,96.4991,..,..,..
Australia,AUS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..,..,..,..,98.10016,98.35632,..,..,..,..,96.87867,..,..,..
Australia,AUS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..,..,..,..,97.27709,97.63589,..,..,..,..,96.13913,..,..,..
Australia,AUS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..,..,1.06E+12,..,..,..,..,..
Australia,AUS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,5.76E+11,6.51E+11,8.03E+11,7.23E+11,8.86E+11,1.08E+12,1.22E+12,1.25E+12,1.14E+12,1.06E+12,9.47E+11,1.03E+12,1.11E+12,1.07E+12,..
Australia,AUS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,44352.13785,..,..,..,..,..
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,27847.64937,31260.10413,37805.48079,33347.38232,40233.32563,48283.02595,53474.85056,53920.03703,48738.74797,44352.13785,39137.30036,42036.79642,44300.56228,42151.08638,..
Australia,AUS,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,6.643779825,5.821906448,6.084999803,9.32124444,7.375591688,8.728131846,10.3576381,9.696017071,8.214282108,7.263653913,5.298791735,6.591302598,5.970546891,6.367928062,..
Australia,AUS,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,47635901346,47448537551,61458498006,83425137739,81131508568,1.17E+11,1.55E+11,1.49E+11,1.17E+11,95880231647,62525742468,85027803514,82990601788,85967028835,..
Australia,AUS,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,6.619927643,5.798304479,6.062239887,9.298882555,7.353684985,8.706833691,10.33741701,9.676006795,8.193945277,7.243143994,5.279374643,6.57242132,5.951665613,6.348111288,..
Australia,AUS,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,47464881200,47256181503,61228622855,83224998870,80890534834,1.17E+11,1.55E+11,1.49E+11,1.17E+11,95609500722,62296620785,84784235027,82728152023,85699502389,..
Australia,AUS,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,1.247177212,1.173301507,1.023537078,1.217460941,1.014460302,0.871417302,0.803604808,0.781214545,0.850264708,0.962232424,1.14419919,1.080648096,1.047725442,1.112941405,..
Australia,AUS,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,8942260611,9562407281,10337724492,10896275420,11159063327,11676991841,12054072119,12030703987,12158785323,12701467996,13501550440,13940360436,14563383642,15024708971,..
Australia,AUS,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,17.0808096,17.04359395,17.10710331,17.24254627,16.69263959,16.47718224,16.81491267,17.18367567,18.12384167,18.66370182,18.06237511,18.0581236,17.8078903,18.21781159,..
Australia,AUS,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,1.22E+11,1.39E+11,1.73E+11,1.54E+11,1.84E+11,2.21E+11,2.52E+11,2.65E+11,2.59E+11,2.46E+11,2.13E+11,2.33E+11,2.48E+11,2.46E+11,..
Australia,AUS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.79,4.66,4.6,4.8,5.08,4.85,5.05,4.953233427,4.856466854,5.022076247,5.022076247,5.022076247,5.022076247,5.022076247,..
Australia,AUS,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,34344300000,37979000000,46460000000,42960000000,55880000000,64990000000,75750000000,76279794774,69447476009,66291406462,59260499716,64784783588,69806859835,67798029336,..
Australia,AUS,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1.195589011,1.097198898,1.531906317,0.957890329,1.044022073,1.135636964,0.981326504,0.731929135,0.816072942,0.628186872,0.620248993,0.771471894,1.335324669,1.32323637,..
Australia,AUS,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,8572373211,8942171023,15472253805,8573118445,11484242808,15217535323,14719897556,11271708685,11669843067,8292066707,7318938114,9951987432,18561012901,17863690989,..
Australia,AUS,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,22.7,22.4,22.9,24.9,22.7,24.3,25.1,24.6,24.2,23.1,21.2,22.4,22.4,23.2,..
Australia,AUS,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,1.334778239,1.972956248,1.822750526,0.977059134,1.680559072,1.891362987,1.159184588,1.105851549,1.04780962,0.686119399,1.082901901,1.001150217,1.234689669,1.259418077,..
Australia,AUS,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,9570359977,16079593420,18409780316,8744679249,18486149794,25344264022,17387768817,17030113854,14983677561,9056776061,12778242432,12914837797,17162186398,17002144043,..
Australia,AUS,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,2.530367251,3.070155146,3.354656844,1.934949463,2.724581146,3.026999951,2.140511092,1.837780684,1.863882561,1.31430627,1.703150894,1.772622111,2.570014338,2.582654447,..
Australia,AUS,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,AUS,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,AUS,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,5.631324288,5.405363101,5.863193725,7.673654844,6.034633136,7.776549099,8.251753995,7.361778873,6.071962523,4.51811636,3.124065571,4.422496557,4.566210424,5.041447667,..
Australia,AUS,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,40376595146,44053709275,59218256619,68679210853,66380964497,1.04E+11,1.24E+11,1.13E+11,86829064085,59639135949,36863973738,57050205591,63470324894,68059543502,..
Australia,AUS,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,0.023852182,0.023601969,0.022759916,0.022361885,0.021906703,0.021298155,0.020221087,0.020010276,0.020336831,0.020509919,0.019417092,0.018881278,0.018881278,0.019816774,..
Australia,AUS,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,171020146.1,192356048,229875151.1,200138868.9,240973734,285395276.6,303316300.2,308158249.3,290816679,270730925.2,229121682.9,243568487.4,262449765.5,267526445.7,..
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,17.0638,17.1,16.1404,15.1808,14.2212,13.2616,12.302,12.1846,12.0672,11.9498,11.8324,11.715,11.3258,10.9366,..
Australia,AUS,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,0.616469979,0.421920002,0.169729993,1.098260045,1.882769942,2.454240084,1.971469998,..
Australia,AUS,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,..,..,..,..,..,..,0.390350014,0.284759998,..,1.090659976,2.029210091,2.598649979,2.19272995,..
Australia,AUS,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,..,..,..,..,..,..,0.830600023,0.55201,..,1.105460048,1.743819952,2.317090034,1.761180043,..
Australia,AUS,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,820,880,930,970,1000,1000,1000,1000,1000,1000,980,930,880,820,750
Australia,AUS,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Australia,AUS,Age dependency ratio (% of working-age population),SP.POP.DPND,48.18525523,47.89079729,47.74597554,47.77266022,47.94845437,48.51375386,49.06719336,49.64057799,50.25970006,50.92505621,51.72993235,52.5996706,53.48508824,54.31300548,55.05194054
Australia,AUS,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.15531705,19.19907657,19.29376434,19.48479413,19.79040532,20.24288155,20.7654893,21.32775898,21.8858011,22.41932738,22.97360952,23.50648633,24.03035262,24.56848227,25.13866192
Australia,AUS,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,29.02993818,28.69172073,28.45221121,28.28786609,28.15804905,28.27087231,28.30170406,28.31281901,28.37389896,28.50572883,28.75632284,29.09318427,29.45473562,29.74452321,29.91327862
Australia,AUS,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,0.622034586,0.482734643,0.475483447,0.458287032,0.48914372,0.495555651,0.553121351,0.639634187,0.630650361,0.617346367,0.626674684,0.603490239,0.640298695,..,..
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.27857543,51.85367663,50.67336605,50.01848405,48.99209872,51.56281322,50.38543145,48.39371022,48.73839866,45.31442407,44.53992579,48.34061794,46.65809501,..,..
Australia,AUS,Agricultural land (sq. km),AG.LND.AGRI.K2,4093020,3983555,3892880,3842570,3763720,3961210,3870760,3717750,3744230,3481190,3426020,3718370,3588950,..,..
Australia,AUS,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,67.06566579,65.11081958,60.27386602,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,99170,94300,77470,80690,68250,118990,118460,80150,89670,85130,68000,89150,88050,..,..
Australia,AUS,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,91.77268872,91.04842865,88.19645733,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,75740,70690,54770,58630,47490,101120,100540,57930,70380,66540,52100,74160,71490,..,..
Australia,AUS,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,3.434431229,3.425970843,2.441952656,2.282876536,2.491043421,3.005694101,3.005310393,2.994705901,2.764930587,2.965317585,3.166924634,2.874829989,2.589287588,2.134787268,..
Australia,AUS,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.850848055,0.856315174,0.786748978,0.707662356,0.698849878,0.638382939,0.586276995,0.608527074,0.688624426,0.717994042,0.704552977,0.684263946,0.759294278,0.662080983,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.726734442,2.201100136,2.338630424,2.291720397,2.197568265,2.276542366,2.254748049,2.278906495,2.216223655,2.372644114,2.403122994,2.704424891,2.458345956,2.121596985,1.897969113
Australia,AUS,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,2.857285829,-15.04013622,8.09402468,17.08163373,-0.748817954,3.46690372,0.973718415,-0.728700775,1.14502978,1.425405241,-7.391062171,9.558619413,-2.666807432,-10.12864178,-7.955971807
Australia,AUS,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,28245301766,23997169905,25939506760,30370398297,30142979302,31188007373,31491690744,31262210549,31620172170,32070887761,29700508508,32539467080,31671702153,28463788898,26199217878
Australia,AUS,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,41110000000,34927000000,37754000000,44203000000,43872000000,45393000000,45835000000,45501000000,46022000000,46678000000,43228000000,47360000000,46097000000,41428000000,38132000000
Australia,AUS,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,27170000000,23917000000,27533000000,28879000000,28595000000,32250000000,33809000000,35011000000,35427000000,38546000000,39909000000,47662000000,45444000000,41428000000,37683000000
Australia,AUS,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,20342917041,18777577137,24649059982,21262700633,25187175196,31795326826,34861827181,35919770186,32522721013,32070887761,29050080070,35946903990,35225176343,29629523673,25260088484
Australia,AUS,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,80518.99783,68881.32646,72640.1155,86549.50769,84134.15569,98162.10915,98623.54999,103616.2883,97345.84197,102737.0995,94351.98797,102052.2948,96313.75339,86838.24889,..
Australia,AUS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,2569.506,2348.084,2212.439,2769.286,2938.314378,2846.598798,2731.69798,1984.693734,1925.772009,1907.051909,1868.732628,1982.586171,2027.63711,1931.155531,..
Australia,AUS,"Air transport, passengers carried",IS.AIR.PSGR,46951775,48728837,51488427,50026967,60640913,63360310.34,66355274,68197955,68123237.67,69779346,72446421,74257326,75667645.03,76850596.72,..
Australia,AUS,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,352909,353546,393363,403256,572906,593145.0025,622917,641451,664970,668961,682937,672349,665384,684170,..
Australia,AUS,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1.174375274,1.169025596,1.048222297,1.120280274,1.340245502,1.673824991,1.720741046,2.138830763,2.373422497,2.1543942,..,..,..,..,..
Australia,AUS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,59.57407915,..,..,..,..,59.84768088,..,..,..,..,63.42877854,..,..,..
Australia,AUS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,..,25.34503245,..,..,..,..,23.37224546,..,..,..,..,20.49051589,..,..,..
Australia,AUS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,..,15.0808884,..,..,..,..,16.78007366,..,..,..,..,16.08070557,..,..,..
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,3.284979675,..,..,..,..,3.133875339,..,..,..,..,3.240853659,..,..,..
Australia,AUS,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,16.1621,..,..,..,..,15.41866667,..,..,..,..,15.945,..,..,..
Australia,AUS,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,53,53,52,53,58,61,63,71,74,76,78,80,81,82,85
Australia,AUS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,49376,55799,58911.69922,70121.85156,73827.22656,73126.53906,78992.10156,76416.89063,73677.60938,83725.21094,92449.89063,89824.92188,96798.52344,..,..
Australia,AUS,Arable land (% of land area),AG.LND.ARBL.ZS,3.15374302,3.010166226,3.123296409,3.533004439,3.312836,4.125704542,4.118219804,4.063991253,4.160251487,4.04705622,3.907556143,3.997909522,4.026770601,..,..
Australia,AUS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1.170553534,1.110305556,1.129176628,1.251243563,1.155160167,1.418749595,1.391666427,1.349905995,1.361421345,1.30545459,1.242491652,1.24998679,1.23981855,..,..
Australia,AUS,Arable land (hectares),AG.LND.ARBL.HA,24228000,23125000,23994100,27141600,25450200,31694900,31637400,31220800,31960300,31090700,30057000,30752000,30974000,..,..
Australia,AUS,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.472088945,0.501202522,0.488147425,0.49158451,0.483262986,0.480592407,0.467086446,0.464872208,0.459473022,0.459257284,0.453616141,0.446556571,0.438369609,..,..
Australia,AUS,"Armed forces personnel, total",MS.MIL.TOTL.P1,51000,55000,55000,56552,56552,57050,56200,56750,56750,57800,57800,58000,58100,..,..
Australia,AUS,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,22000000,48000000,48000000,80000000,115000000,143000000,45000000,54000000,97000000,87000000,134000000,98000000,38000000,103000000,396000000
Australia,AUS,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,728000000,679000000,444000000,778000000,1513000000,1557000000,867000000,245000000,906000000,1464000000,1026000000,1653000000,1557000000,1184000000,1658000000
Australia,AUS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,154.7306127,155.2816306,157.8410749,154.3220523,168.6904343,170.510888,164.6982387,161.1654337,165.2285315,163.8955849,167.6971925,160.3243873,146.1733685,136.5377793,129.6922329
Australia,AUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,534,..,..,..,..,534,..,..,..,..,534,..,..,..
Australia,AUS,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,..,..,..,..,..,13.6404531,10.84349173,10.19,8.881975508,9.24380167,9.660699222,8.840543777,7.765948027,7.422201,7.214873
Australia,AUS,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,6.641731188,6.345721763,5.604792696,5.946205241,5.42984328,5.294369308,5.313354129,5.302937198,5.401597776,6.175417973,6.498370245,6.92002653,6.885661307,7.411484268,7.998032421
Australia,AUS,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,0.608766379,0.922033931,1.536216203,0.686605226,0.510214186,0.492176094,0.466271572,1.213187377,1.057941151,1.002905585,0.952285065,1.015501206,1.02149048,1.490224656,4.253643493
Australia,AUS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,0.57401314,0.559225605,1.355262088,2.018064585,2.14856126,1.968386346,1.701891508,1.365174882,1.013844499,0.888725499,0.947676353,0.85701375,0.901855194,0.961493162,1.107782713
Australia,AUS,Battle-related deaths (number of people),VC.BTL.DETH,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..
Australia,AUS,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,97.11,97.09,97.07,97.07,97.09,97.07,97.17,97.16,97.16,97.21,97.21,97.17,97.17,97.15,..
Australia,AUS,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,96.51,96.48,96.48,96.48,96.48,96.48,96.46,96.46,96.46,96.54,96.54,96.48,96.48,96.48,..
Australia,AUS,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,99.07,99.05,98.96,98.96,99.05,98.96,99.17,99.1,99.1,99.1,99.1,99.09,99.09,99.01,..
Australia,AUS,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,52,..,..
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.9,14.1,14,13.9,13.7,13.6,13.7,13.3,13.2,12.9,12.9,12.6,12.6,12.1,..
