Year,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,Adults (ages 15-49) newly infected with HIV,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Incidence of HIV, all (per 1,000 uninfected population)","Prevalence of HIV, female (% ages 15-24)","Prevalence of HIV, male (% ages 15-24)","Prevalence of HIV, total (% of population ages 15-49)",Women's share of population ages 15+ living with HIV (%),Young people (ages 15-24) newly infected with HIV,"Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)","Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Proportion of seats held by women in national parliaments (%),Women Business and the Law Index Score (scale 1-100),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",GDP per person employed (constant 2017 PPP $),"Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Country
2006,820,1000,0.03,0.07,0.04,0.1,0.1,0.1,11.7,100,6.113004664,6.459158032,19.59030323,1960459,18.9164397,2094326,20.26613609,4054781,6.232027507,6.666506642,6.571407528,7.140471414,6.741374833,7.239735292,67.48309718,6940314,66.96700159,7027265,68.00062566,13967584,6.972210847,7.328441467,6.5724486,6.646357236,7.386869191,7.334530198,7.190972361,7.155888393,7.515378446,7.605429938,7.218439171,7.206637575,6.542578566,6.473667556,6.126032669,6.245593842,4.700696906,4.764344157,12.92659959,1463009,14.11655871,1212527,11.73323826,2675535,3.746101206,3.720751283,3.13139147,2.947297057,2.844862923,2.441903115,4.394203112,2.6232868,10363782,50.07165929,10334118,49.92834071,20697900,24.66666667,81.25,54.69,68.87,61.81,61.66,62.9,64.47,63.7,86036.90687,4.92,4.67,4.78,4.78,9.47,10.55,10.03,Australia
2007,880,1000,0.03,0.08,0.04,0.1,0.1,0.1,11.9,100,6.177637976,6.521035558,19.40061322,1955442,18.76235901,2085263,20.04011184,4040682,6.135360463,6.532825278,6.449360568,6.986251005,6.767086827,7.305539962,67.61745743,6993095,67.0983782,7090020,68.13757454,14083094,7.060144038,7.455514383,6.713936589,6.827348169,7.172081516,7.114339802,7.255499588,7.203604822,7.325780579,7.367809204,7.236830602,7.240332861,6.545753298,6.464287963,6.093455565,6.157831809,4.927809594,5.00096557,12.98192935,1473615,14.1392628,1230165,11.82231361,2703824,3.773428072,3.744872381,3.134985077,2.963458951,2.775095956,2.385896663,4.455753692,2.728085619,10422152,50.04010023,10405448,49.95989977,20827600,26.66666667,81.25,55.29,69.58,62.51,62.32,63.24,64.99,64.13,87587.10641,4.78,4.04,4.38,4.38,9.25,9.48,9.37,Australia
2008,930,1000,0.03,0.08,0.04,0.1,0.1,0.1,12.1,100,6.277718078,6.62367846,19.25752247,1982209,18.6533195,2109908,19.86239898,4092069,6.054914227,6.418955446,6.320687191,6.819765073,6.722172812,7.279857354,67.68373866,7136720,67.15917732,7245568,68.20881897,14382253,7.112503712,7.554327976,6.929491285,7.092997905,6.934721818,6.8713678,7.350642962,7.287621675,7.129395148,7.128246797,7.239198855,7.245180471,6.569896799,6.490165897,6.016960051,6.019852469,5.154193875,5.239200631,13.05873886,1507646,14.18750319,1267150,11.92878205,2774878,3.822245102,3.784872046,3.153064905,2.99955974,2.712397152,2.333919252,4.499796028,2.810431009,10626574,50.00928873,10622626,49.99071127,21249200,26.66666667,81.25,55.87,69.75,62.88,62.71,63.5,65.48,64.51,88309.22179,4.57,3.96,4.23,4.23,8.6,9.02,8.82,Australia
2009,970,1000,0.03,0.08,0.05,0.1,0.1,0.1,12.3,100,6.370797891,6.719906361,19.14282802,2013675,18.56981165,2138775,19.71604066,4152405,5.99875163,6.334081454,6.200262126,6.66205285,6.61168897,7.165552146,67.67151777,7280709,67.14162175,7398431,68.20155748,14679103,7.140871297,7.63481555,7.147998796,7.366977606,6.768227246,6.705840594,7.402105638,7.329450507,6.985096353,6.95408759,7.206573044,7.198684842,6.602446213,6.531241218,5.947498013,5.8978772,5.329116184,5.417030224,13.18565421,1549425,14.2885666,1310686,12.08240186,2860193,3.913300548,3.86776414,3.177751829,3.044089376,2.668158629,2.303154418,4.529355594,2.867393925,10843809,49.99058887,10847891,50.00941113,21691700,27.33333333,83.75,55.57,68.19,61.94,61.79,60.72,61.62,61.18,89394.68955,5.4,5.69,5.56,5.56,10.35,12.48,11.46,Australia
2010,1000,1000,0.03,0.09,0.05,0.1,0.1,0.1,12.6,100,6.423609622,6.773398348,19.03233624,2036247,18.488043,2156909,19.57642545,4193157,5.974412466,6.286529598,6.090020916,6.516497505,6.462552081,6.996714254,67.59110796,7385446,67.05594378,7506055,68.12605444,14891504,7.139526054,7.682186319,7.321417043,7.599113018,6.726824474,6.678690814,7.372711295,7.290196592,6.921401333,6.872835392,7.134560055,7.10263181,6.632199626,6.567619537,5.915262907,5.831585039,5.429488913,5.504481662,13.37655581,1592165,14.45601321,1354927,12.29752011,2947089,4.049311464,4.002501225,3.209561082,3.092594057,2.647581581,2.301448133,4.549559087,2.900976698,11013858,49.99084392,11017892,50.00915608,22031750,24.66666667,83.75,55.46,68.69,62.18,61.98,59.71,61.29,60.52,89365.70721,5.38,5.07,5.21,5.21,11.13,11.95,11.55,Australia
2011,1000,1000,0.03,0.09,0.05,0.1,0.1,0.1,12.7,100,6.502768687,6.884882739,19.03586303,2066091,18.49222766,2186553,19.58001227,4252616,5.968433701,6.287096469,6.021025273,6.408033066,6.417121076,6.922748098,67.33382876,7469448,66.85412617,7572959,67.81388528,15042394,7.088710484,7.57365771,7.390757155,7.682425201,6.752126197,6.752815537,7.226692388,7.148777489,6.913050375,6.847576573,7.012032185,6.980495878,6.660099818,6.586504417,5.9266124,5.822469159,5.466924089,5.496415217,13.63030821,1637216,14.65364617,1407757,12.60610245,3045014,4.205782092,4.168713343,3.241940395,3.136753595,2.637926898,2.325648482,4.567996786,2.974987028,11172755,50.01227704,11167269,49.98772296,22340024,24.66666667,91.25,55.74,68.64,62.29,62.1,60.19,60.57,60.39,90147.48017,5.3,4.89,5.08,5.08,10.78,11.94,11.38,Australia
2012,1000,1000,0.03,0.09,0.05,0.1,0.1,0.1,12.9,100,6.499786278,6.89426492,18.98587091,2098215,18.4407031,2217950,19.53229816,4316146,5.998508309,6.334654115,5.942408514,6.303379124,6.362515811,6.838838784,67.08384074,7584244,66.65609107,7666241,67.51248705,15250481,7.028158939,7.473621451,7.426754482,7.705255676,6.884860645,6.93385252,7.019610067,6.952295849,6.96645876,6.891511532,6.864613774,6.82618194,6.680254722,6.60730945,5.97066341,5.8537465,5.452200462,5.42987335,13.93028835,1695712,14.90320583,1471103,12.95521479,3166837,4.396458324,4.367668722,3.285506172,3.183912942,2.646207528,2.369469525,4.575033803,3.034163601,11378171,50.05031665,11355294,49.94968335,22733465,24.66666667,91.25,55.64,68.04,61.92,61.75,59.46,59.73,59.6,92551.26906,5.33,5.14,5.22,5.22,10.96,12.46,11.73,Australia
2013,1000,1000,0.03,0.08,0.05,0.1,0.1,0.1,13.1,100,6.442072175,6.836037521,18.9205481,2128237,18.368456,2247732,19.47478451,4375969,6.06153623,6.42087261,5.864847593,6.217874375,6.284027696,6.720079152,66.82679484,7698697,66.44614947,7757084,67.20885699,15455787,6.961244682,7.397914714,7.43490601,7.675242806,7.075468985,7.161818753,6.810359072,6.760673629,7.028893418,6.955166929,6.727173702,6.6712641,6.676992949,6.616977281,6.034291326,5.903881137,5.412791628,5.345838489,14.25265706,1759436,15.18539453,1536942,13.31635851,3296373,4.588671905,4.557309518,3.350839944,3.248954095,2.662438299,2.422234778,4.583444386,3.087860114,11586371,50.09644844,11541758,49.90355156,23128129,26,93.75,55.39,67.31,61.41,61.26,58.73,58.58,58.66,94022.70698,5.61,5.71,5.66,5.66,11.36,13.04,12.22,Australia
2014,1000,1000,0.03,0.08,0.04,0.1,0.1,0.1,13.2,100,6.377950846,6.769298948,18.88323841,2156081,18.31763637,2276877,19.45189309,4432970,6.137245387,6.519753014,5.802440137,6.162841131,6.176810745,6.567265336,66.55144441,7793452,66.2116242,7829949,66.89309957,15623408,6.887085406,7.336735465,7.425836931,7.617287652,7.254491294,7.356913328,6.673875377,6.648384764,7.0394133,6.975726813,6.634107164,6.555705988,6.639296895,6.597209148,6.094392073,5.948959187,5.386315018,5.28891189,14.56531719,1820986,15.47073943,1598341,13.65500734,3419308,4.741427583,4.691582559,3.447156074,3.345453933,2.684037445,2.476921888,4.598118325,3.141048955,11770519,50.13919057,11705167,49.86080943,23475686,26,96.875,55.03,66.7,60.92,60.77,57.98,57.44,57.7,95697.03461,6.17,6,6.08,6.08,12.47,14.11,13.31,Australia
2015,1000,1000,0.03,0.08,0.04,0.1,0.1,0.1,13.3,100,6.339609153,6.734717751,18.8873399,2187070,18.30384478,2311139,19.47485001,4498208,6.195878054,6.595484998,5.768357571,6.144647266,6.050256414,6.404429889,66.25804941,7880342,65.95149521,7899670,66.56668921,15780014,6.798102863,7.261201029,7.405174786,7.558055924,7.383562652,7.476221882,6.644827446,6.645219367,6.97828726,6.929672115,6.592450295,6.496251055,6.571987477,6.541557882,6.134164794,5.979008591,5.392681224,5.275071476,14.85461069,1881281,15.74466001,1656493,13.95846078,3537773,4.836637255,4.757317497,3.57297289,3.471284503,2.716074697,2.534909862,4.61897517,3.194948913,11948693,50.17087434,11867302,49.82912566,23815995,26.66666667,96.875,55.52,66.79,61.21,61.06,58.76,58.15,58.45,95946.07078,6.07,6.04,6.05,6.05,11.91,14.24,13.11,Australia
